Duration,CPU Time
109,6
77,5
7,5
30,8
5,3
19,3
4,4
9,2
6,3
28,4
4,2
8,4
8,5
36,4
8,2
17,7
13,2
232,6
10,8
8,4
14,3
111,3
5,1
14,4
30,1
23,4
10,6
6,5
52,3
9,5
46,6
