Duration,CPU Time
6,5
13,2
31,4
103,3
6,4
8,6
57,4
8,4
15,4
13,7
69,8
5,5
5,5
228,5
13,3
57,8
22,5
35,5
57,5
44,4
21,6
24,1
9,6
29,3
9,5
30,6
41,3
20,7
38,2
10,2
44,1
