Duration,CPU Time
14,1
5,1
5,2
43,4
21,3
6,5
6,4
4,2
11,4
38,5
54,6
70,5
6,4
9,6
7,4
9,9
13,3
8,3
79,3
31,4
7,2
5,2
6,5
17,5
37,5
36,3
6,5
6,5
4,2
6,4
196,4
