Duration,CPU Time
25,10
34,5
22,4
90,7
11,8
12,4
16,7
19,6
97,9
364,6
9,8
45,8
8,7
200,9
14,5
86,4
203,10
73,5
226,8
8,6
34,6
87,5
7,6
368,11
84,8
80,9
46,4
114,6
44,5
33,5
100,9
