Duration,CPU Time
578,26
8,6
8,5
7,7
5,2
132,6
26,7
34,6
85,7
400,6
101,8
7,4
698,10
132,8
224,8
6,3
207,9
7,7
7,6
103,9
9,4
51,7
8,6
44,10
52,5
80,6
131,6
7,6
8,4
26,5
183,6
