Duration,CPU Time
27,9
157,11
67,7
5,4
111,6
14,5
16,6
81,10
248,9
145,9
6,6
40,2
6,4
13,7
13,7
14,7
5,2
17,5
44,7
103,9
41,5
71,5
6,6
34,4
14,6
44,8
11,2
35,4
12,8
182,10
16,7
