Duration,CPU Time
11,2
23,3
9,4
6,3
120,8
4,2
8,5
10,3
11,7
16,5
4,1
15,4
7,3
8,3
2,1
4,3
6,3
3,3
5,1
4,3
4,3
3,2
4,3
9,5
4,2
7,4
4,4
6,3
4,2
101,6
7,4
